o1Error,o2Error,o3Error,o4Error,o5Error,o6Error,o7Error,o8Error,o9Error,o10Error,b1Error,b2Error,b3Error,b4Error,b5Error,b6Error,b7Error,b8Error,b9Error,b10Error
0,-3.0,5.647458426454921,2.8328900141647417,2.0443941193584534,4.960001932068081,5.252665432450248,5.7582232147267245,5.7582232147267245,5.2143191208007655,6.111135670234707,-3.0,5.647458426454921,3.0223678130284544,2.0443941193584534,5.005624549193878,5.2143191208007655,5.731319031025064,5.588714635582264,5.174925682500679,6.111135670234707
1,5.675957032941749,0.16992500144231237,5.361943773735241,5.810571634741147,4.1799090900149345,4.098032082960526,0.16992500144231237,0.16992500144231237,3.4757334309663976,4.098032082960526,5.933690654952234,0.16992500144231237,5.290018846932618,5.7846348455575205,4.400879436282184,3.7142455176661224,1.0874628412503393,2.0443941193584534,3.4757334309663976,4.098032082960526
2,3.0223678130284544,5.396604781181859,1.0874628412503393,3.7142455176661224,4.467605550082998,4.098032082960526,5.836050355058069,5.836050355058069,4.960001932068081,5.933690654952234,3.0223678130284544,5.396604781181859,0.16992500144231237,3.7142455176661224,4.467605550082998,4.7073591320808825,5.527477006060396,5.252665432450248,5.005624549193878,5.933690654952234
3,2.0443941193584534,5.7582232147267245,3.4757334309663976,0.16992500144231237,5.092757140919852,4.864186144654281,5.861086905995394,5.861086905995394,5.396604781181859,6.1922928144707665,2.0443941193584534,5.7582232147267245,3.3398500028846247,0.16992500144231237,5.174925682500679,5.252665432450248,5.810571634741147,5.618385502258606,5.005624549193878,6.172427508645482
4,4.467605550082998,4.1799090900149345,3.599912842187128,5.2143191208007655,1.0874628412503393,1.6438561897747246,4.1799090900149345,4.1799090900149345,3.0223678130284544,5.2143191208007655,5.005624549193878,4.1799090900149345,4.098032082960526,5.2143191208007655,1.0874628412503393,0.16992500144231237,4.1799090900149345,3.7142455176661224,2.6147098441152083,5.252665432450248
5,5.174925682500679,4.592457037268081,0.16992500144231237,5.810571634741147,2.0443941193584534,3.189824558880017,4.257387842692652,4.257387842692652,3.189824558880017,4.960001932068081,5.527477006060396,3.820178962415188,4.400879436282184,5.810571634741147,3.4757334309663976,2.0443941193584534,3.820178962415188,0.16992500144231237,2.6147098441152083,5.049848549450561
6,5.731319031025064,1.6438561897747246,5.430452551665532,5.861086905995394,4.531381460516312,3.7142455176661224,4.531381460516312,4.531381460516312,3.7142455176661224,3.599912842187128,5.731319031025064,1.6438561897747246,5.430452551665532,5.861086905995394,4.531381460516312,4.1799090900149345,1.6438561897747246,4.1799090900149345,3.7142455176661224,3.820178962415188
7,5.5584207132686645,1.6438561897747246,5.396604781181859,5.703903573444664,4.098032082960526,3.599912842187128,1.6438561897747246,1.6438561897747246,2.8328900141647417,4.400879436282184,5.5584207132686645,1.6438561897747246,5.290018846932618,5.703903573444664,4.098032082960526,3.599912842187128,2.357552004618084,1.0874628412503393,3.599912842187128,4.467605550082998
8,5.252665432450248,3.599912842187128,4.813781191217037,5.430452551665532,3.0223678130284544,3.0223678130284544,4.098032082960526,4.098032082960526,1.6438561897747246,4.912889336229962,5.588714635582264,3.599912842187128,4.813781191217037,5.430452551665532,3.0223678130284544,1.6438561897747246,2.8328900141647417,2.8328900141647417,3.599912842187128,4.912889336229962
9,6.111135670234707,4.257387842692652,5.885696373339395,6.211888294546004,5.290018846932618,5.092757140919852,4.257387842692652,4.257387842692652,4.864186144654281,0.16992500144231237,6.111135670234707,4.257387842692652,5.885696373339395,6.211888294546004,5.463524373271181,5.092757140919852,4.257387842692652,3.820178962415188,4.864186144654281,0.16992500144231237
